# Time, setPoint, Actual Brake Current, MotorCurrent, MotorSpeed, trials: 3 , atrials: 0 , pts: 50 , timeLength: 5.00
nan,nan,nan,nan,nan,nan,nan
0.02,0.00,-1.60,0.96,5.02,16.84,nan
0.05,0.00,0.60,0.06,5.19,17.48,nan
0.07,0.00,-2.10,0.00,5.19,16.84,nan
0.10,0.00,-2.70,1.14,4.85,17.48,nan
0.12,0.00,2.20,0.96,4.79,16.84,nan
nan,nan,nan,nan,nan,nan,nan
0.14,0.00,-1.60,0.96,4.79,16.84,nan
0.17,0.00,-1.00,1.02,5.02,16.84,nan
0.19,0.00,1.10,1.02,4.97,16.84,nan
0.22,0.00,1.10,0.96,4.97,17.48,nan
nan,nan,nan,nan,nan,nan,nan
0.24,0.00,0.00,0.90,5.14,17.48,nan
0.27,0.00,1.10,1.02,5.14,16.19,nan
0.29,0.00,-1.00,0.00,5.31,17.48,nan
0.32,0.00,-2.10,0.06,5.25,16.84,nan
nan,nan,nan,nan,nan,nan,nan
0.34,0.00,0.00,1.92,4.97,17.48,nan
0.37,0.00,-0.50,0.96,4.91,16.84,nan
0.39,0.00,0.00,1.02,4.91,16.84,nan
0.41,0.00,0.60,1.02,4.91,17.48,nan
0.44,0.00,0.60,0.96,5.08,16.84,nan
nan,nan,nan,nan,nan,nan,nan
0.46,0.00,1.70,0.96,5.02,16.84,nan
0.48,0.00,2.80,0.96,5.08,16.84,nan
0.51,0.00,0.60,1.02,4.97,16.84,nan
0.53,0.00,-2.10,1.02,5.02,16.84,nan
0.55,0.00,1.10,0.00,5.31,16.84,nan
0.58,0.00,2.20,0.12,5.25,16.84,nan
nan,nan,nan,nan,nan,nan,nan
0.60,0.00,-2.10,1.62,4.91,17.48,nan
0.63,0.00,-0.50,1.02,4.91,17.48,nan
0.65,0.00,2.80,0.96,4.79,16.84,nan
0.68,0.00,-1.60,0.96,5.08,17.48,nan
nan,nan,nan,nan,nan,nan,nan
0.70,0.00,-1.60,0.90,5.08,17.48,nan
0.73,0.00,-0.50,0.06,5.25,16.19,nan
0.75,0.00,1.70,0.96,4.91,17.48,nan
0.77,0.00,1.70,0.90,4.91,17.48,nan
0.80,0.00,0.00,0.96,5.08,16.84,nan
nan,nan,nan,nan,nan,nan,nan
0.82,0.00,-0.50,0.90,5.08,17.48,nan
0.85,0.00,-2.10,0.84,4.97,17.48,nan
0.87,0.00,-1.60,0.12,5.25,17.48,nan
0.90,0.00,-1.00,0.06,5.19,17.48,nan
nan,nan,nan,nan,nan,nan,nan
0.92,0.00,-2.70,1.02,4.85,17.48,nan
0.95,0.00,-0.50,1.02,4.85,16.84,nan
0.97,0.00,0.00,0.96,4.85,16.84,nan
0.99,0.00,-2.10,0.96,5.08,17.48,nan
1.02,0.00,-3.20,0.90,5.08,17.48,nan
nan,nan,nan,nan,nan,nan,nan
1.04,0.00,0.00,0.96,5.08,16.84,nan
1.06,0.00,-1.60,0.96,5.14,17.48,nan
1.09,0.00,0.00,1.02,5.02,17.48,nan
1.11,0.00,-1.60,1.02,5.08,17.48,nan
1.13,0.00,-1.60,0.06,5.31,16.84,nan
1.16,0.00,-1.00,0.00,5.19,16.84,nan
nan,nan,nan,nan,nan,nan,nan
1.18,0.00,-1.60,1.62,4.91,16.84,nan
1.21,0.00,-1.00,1.02,4.91,18.12,nan
1.23,0.00,-1.00,1.02,4.85,16.84,nan
1.25,0.00,-1.60,0.96,5.08,16.84,nan
1.28,0.00,1.10,0.96,5.08,16.84,nan
1.30,0.00,-0.50,0.90,5.08,16.84,nan
nan,nan,nan,nan,nan,nan,nan
1.32,0.00,0.00,1.08,5.02,16.84,nan
1.35,0.00,-1.00,0.06,5.31,16.84,nan
1.37,0.00,0.60,0.00,5.19,17.48,nan
1.40,0.00,-0.50,1.08,4.91,16.84,nan
nan,nan,nan,nan,nan,nan,nan
1.42,0.00,-1.00,1.02,4.91,17.48,nan
1.45,0.00,-0.50,0.96,4.79,17.48,nan
1.47,0.00,-1.00,0.84,4.79,16.84,nan
1.50,0.00,2.20,0.96,5.02,17.48,nan
